Month,Day,Pitfall,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Fisher_alpha,Berger-Parker,Chao-1
January,Day1,P1,5,46,0.3308,0.6692,1.28,0.7194,1.141,0.7372,1.045,1.427,0.4783,5
January,Day1,P2,5,55,0.3507,0.6493,1.269,0.7111,1.145,0.6742,0.9982,1.336,0.5273,5
January,Day1,P3,1,1,1,0,0,1,0,1,0,0,1,1
January,Day1,P4,5,93,0.3433,0.6567,1.271,0.7126,1.188,0.5185,0.8825,1.131,0.5161,5
January,Day1,P5,6,188,0.477,0.523,0.9899,0.4485,0.9424,0.4376,0.9548,1.182,0.6383,6
January,Day1,P6,7,93,0.5482,0.4518,0.9448,0.3675,0.8556,0.7259,1.324,1.755,0.7204,8.5
January,Day1,P7,5,57,0.6614,0.3386,0.7495,0.4232,0.6507,0.6623,0.9894,1.32,0.807,5
January,Day1,P8,3,41,0.6478,0.3522,0.6029,0.6091,0.5335,0.4685,0.5386,0.7452,0.7805,3
January,Day1,P9,5,45,0.4894,0.5106,0.9432,0.5136,0.8264,0.7454,1.051,1.439,0.6444,5.5
January,Day1,P10,7,55,0.5464,0.4536,1.017,0.3952,0.8773,0.9439,1.497,2.127,0.7273,10
January,Day1,P11,5,15,0.2444,0.7556,1.49,0.8872,1.163,1.291,1.477,2.626,0.3333,5
January,Day1,P12,5,49,0.586,0.414,0.8892,0.4866,0.771,0.7143,1.028,1.394,0.7551,5
January,Day2,P1,5,31,0.5297,0.4703,0.972,0.5287,0.8083,0.898,1.165,1.687,0.7097,5
January,Day2,P2,4,18,0.4012,0.5988,1.087,0.7414,0.8784,0.9428,1.038,1.594,0.5556,4
January,Day2,P3,6,35,0.298,0.702,1.41,0.6827,1.211,1.014,1.406,2.084,0.4,6
January,Day2,P4,3,33,0.4509,0.5491,0.9021,0.8216,0.8006,0.5222,0.572,0.8018,0.5758,3
January,Day2,P5,7,97,0.4622,0.5378,0.9808,0.3809,0.8981,0.7107,1.312,1.731,0.5876,8
January,Day2,P6,3,24,0.5035,0.4965,0.7924,0.7362,0.6784,0.6124,0.6293,0.905,0.625,3
January,Day2,P7,5,27,0.3745,0.6255,1.239,0.6905,1.037,0.9623,1.214,1.805,0.5556,5
