Month,Pitfall,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1
January,P1,6,95,0.3888,0.6112,1.217,0.563,1.127,0.6156,1.098,0.6793,1.423,0.5684,6
January,P2,6,95,0.3447,0.6553,1.287,0.6035,1.196,0.6156,1.098,0.7181,1.423,0.5053,6
January,P3,6,42,0.2937,0.7063,1.417,0.6876,1.242,0.9258,1.338,0.791,1.916,0.381,6
January,P4,5,157,0.3326,0.6674,1.241,0.6921,1.188,0.399,0.7911,0.7713,0.9846,0.4013,5
January,P5,8,309,0.3253,0.6747,1.295,0.4563,1.252,0.4551,1.221,0.6227,1.5,0.4045,8
January,P6,7,139,0.4322,0.5678,1.106,0.4318,1.038,0.5937,1.216,0.5685,1.554,0.6043,7.5
January,P7,6,92,0.5404,0.4596,0.9758,0.4422,0.8886,0.6255,1.106,0.5446,1.437,0.7174,6
January,P8,5,89,0.5942,0.4058,0.8185,0.4534,0.7466,0.53,0.8911,0.5086,1.145,0.7528,5
January,P9,6,68,0.4788,0.5212,1.017,0.4606,0.9132,0.7276,1.185,0.5674,1.587,0.6471,6.5
January,P10,8,73,0.5264,0.4736,1.071,0.3648,0.9447,0.9363,1.632,0.5151,2.291,0.7123,14
January,P11,6,22,0.1983,0.8017,1.679,0.893,1.374,1.279,1.618,0.9369,2.718,0.2273,6
January,P12,7,109,0.7175,0.2825,0.6896,0.2847,0.6137,0.6705,1.279,0.3544,1.669,0.844,8
February,P1,8,51,0.4687,0.5313,1.207,0.4179,1.033,1.12,1.78,0.5805,2.664,0.6667,9
February,P2,5,36,0.4414,0.5586,0.993,0.5399,0.8564,0.8333,1.116,0.617,1.577,0.5556,8
February,P3,5,28,0.3418,0.6582,1.237,0.6891,1.048,0.9449,1.2,0.7686,1.772,0.4643,6
February,P4,6,16,0.2109,0.7891,1.646,0.8646,1.278,1.5,1.803,0.9188,3.487,0.25,6.5
February,P5,5,14,0.2755,0.7245,1.438,0.8422,1.102,1.336,1.516,0.8933,2.782,0.4286,5
February,P6,5,25,0.4592,0.5408,1.067,0.5814,0.874,1,1.243,0.663,1.879,0.64,5.5
February,P7,5,56,0.3527,0.6473,1.204,0.6665,1.091,0.6682,0.9937,0.7479,1.328,0.5,5
February,P8,3,25,0.4304,0.5696,0.9437,0.8565,0.8166,0.6,0.6213,0.859,0.8901,0.56,3
February,P9,4,44,0.4597,0.5403,1.013,0.6887,0.9013,0.603,0.7928,0.731,1.069,0.6364,4
February,P10,5,28,0.301,0.699,1.368,0.7859,1.164,0.9449,1.2,0.8503,1.772,0.4643,5
February,P11,5,49,0.3828,0.6172,1.181,0.6512,1.054,0.7143,1.028,0.7335,1.394,0.551,5
February,P12,6,60,0.3572,0.6428,1.243,0.5776,1.118,0.7746,1.221,0.6937,1.66,0.4833,6
March,P1,3,29,0.4887,0.5113,0.7969,0.7396,0.6983,0.5571,0.5939,0.7254,0.8404,0.5862,3
March,P2,4,28,0.5969,0.4031,0.7614,0.5353,0.6329,0.7559,0.9003,0.5492,1.277,0.75,5
March,P3,5,36,0.7037,0.2963,0.6576,0.386,0.5353,0.8333,1.116,0.4086,1.577,0.8333,8
March,P4,5,53,0.4439,0.5561,1.029,0.5596,0.9207,0.6868,1.007,0.6392,1.354,0.6038,6
March,P5,2,25,0.5008,0.4992,0.6923,0.9992,0.6186,0.4,0.3107,0.9988,0.5116,0.52,2
March,P6,4,16,0.6719,0.3281,0.6886,0.4977,0.5075,1,1.082,0.4967,1.712,0.8125,7
March,P7,4,157,0.7589,0.2411,0.5048,0.4142,0.4725,0.3192,0.5933,0.3641,0.7473,0.8662,4
March,P8,5,15,0.4756,0.5244,1.081,0.5893,0.8068,1.291,1.477,0.6714,2.626,0.6667,6.5
March,P9,5,20,0.26,0.74,1.441,0.8447,1.177,1.118,1.335,0.8951,2.14,0.35,5
March,P10,4,37,0.4697,0.5303,1.003,0.6817,0.8767,0.6576,0.8308,0.7236,1.139,0.6486,4
March,P11,5,24,0.2882,0.7118,1.372,0.7888,1.146,1.021,1.259,0.8526,1.922,0.375,5
March,P12,6,55,0.366,0.634,1.232,0.5716,1.101,0.809,1.248,0.6878,1.715,0.5273,6.5
April,P1,3,51,0.654,0.346,0.5871,0.5996,0.5291,0.4201,0.5087,0.5344,0.6965,0.7843,3
April,P2,3,30,0.4733,0.5267,0.811,0.7501,0.7145,0.5477,0.588,0.7382,0.8299,0.5333,3
April,P3,3,94,0.7435,0.2565,0.4592,0.5276,0.4259,0.3094,0.4402,0.418,0.5911,0.8511,3
April,P4,3,10,0.42,0.58,0.9433,0.8562,0.7139,0.9487,0.8686,0.8587,1.453,0.5,3
April,P5,3,7,0.551,0.449,0.7963,0.7391,0.534,1.134,1.028,0.7248,1.989,0.7143,4
April,P6,3,12,0.4583,0.5417,0.8877,0.8098,0.6903,0.866,0.8049,0.808,1.284,0.5833,3
April,P7,4,17,0.3287,0.6713,1.206,0.8348,0.977,0.9701,1.059,0.8697,1.649,0.4118,4
April,P8,3,17,0.5433,0.4567,0.8037,0.7446,0.649,0.7276,0.7059,0.7316,1.057,0.7059,3
April,P9,2,21,0.7551,0.2449,0.4101,0.7535,0.3425,0.4364,0.3285,0.5917,0.5435,0.8571,2
April,P10,4,33,0.4472,0.5528,0.9174,0.6257,0.7987,0.6963,0.858,0.6617,1.192,0.5152,5
April,P11,4,11,0.4545,0.5455,1.034,0.7028,0.7531,1.206,1.251,0.7456,2.261,0.6364,4.5
April,P12,2,27,0.9287,0.07133,0.1584,0.5858,0.1221,0.3849,0.3034,0.2285,0.4988,0.963,2
