"","Timestamp","Age","Gender","Role in clinic","Years of Experience","Clinic Location","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","Knowledge_9","Knowledge_10","Challenge_1","Challenge_2","Challenge_3","Challenge_4","Challenge_5","Challenge_6","Opportunity_1","Opportunity_2","Opportunity_3","Opportunity_4","Opportunity_5","Would you support integrating tele-eye care?","Training Needs","Policy Suggestions"
"1","45834.75253542824","31 - 40 yrs","Male","Optometrist","2","Adetula opticals","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Moderate Challenge","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Development and enforcement of a national tele‑optometry regulatory framework, Mandatory CPD credits in tele‑optometry competencies"
"2","45838.30884412037","21 - 30 yrs","Male","Optometrist","2 years","Benin City","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Significant Challenge","Significant Challenge","Moderate Challenge","Not a Challenge","Significant Challenge","Significant Challenge","Neutral","Neutral","Disagree","Agree","Neutral","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Inclusion of tele‑eye care modules in optometry training and CPD programs, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS), Nationwide public‑awareness campaigns on tele‑eye care benefits, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"3","45839.94654538194","21 - 30 yrs","Male","Optometrist","3","Edo state","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Agree","Not a Challenge","Significant Challenge","Not a Challenge","Slight Challenge","Moderate Challenge","Not a Challenge","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Development and enforcement of a national tele‑optometry regulatory framework, Inclusion of tele‑eye care modules in optometry training and CPD programs, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS), Mandatory CPD credits in tele‑optometry competencies, Nationwide public‑awareness campaigns on tele‑eye care benefits, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"4","45839.96532984954","31 - 40 yrs","Male","Intern optometrist","Less than two years","University of Abuja teaching hospital","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Major Challenge","Not a Challenge","Moderate Challenge","Not a Challenge","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Inclusion of tele‑eye care modules in optometry training and CPD programs, Mandatory CPD credits in tele‑optometry competencies, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"5","45839.97357751158","31 - 40 yrs","Male","Optometrist","1","Lagos","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Significant Challenge","Slight Challenge","Significant Challenge","Major Challenge","Strongly Agree","Neutral","Agree","Neutral","Neutral","Yes","Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Clinical decision-making in remote settings","Inclusion of tele‑eye care modules in optometry training and CPD programs"
"6","45840.05047178241","21 - 30 yrs","Female","Optometrist","2","RSUTH/port harcourt","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Major Challenge","Significant Challenge","Moderate Challenge","Slight Challenge","Significant Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Development and enforcement of a national tele‑optometry regulatory framework, Inclusion of tele‑eye care modules in optometry training and CPD programs, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS), Mandatory CPD credits in tele‑optometry competencies, Nationwide public‑awareness campaigns on tele‑eye care benefits, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"7","45840.27168614583","21 - 30 yrs","Female","Optometrist","1 year 6 months","Ibadan","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Major Challenge","Major Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Development and enforcement of a national tele‑optometry regulatory framework, Inclusion of tele‑eye care modules in optometry training and CPD programs, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS), Mandatory CPD credits in tele‑optometry competencies, Nationwide public‑awareness campaigns on tele‑eye care benefits, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"8","45840.37095663194","31 - 40 yrs","Male","Optometrist","1","Benin","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Moderate Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Development and enforcement of a national tele‑optometry regulatory framework, Inclusion of tele‑eye care modules in optometry training and CPD programs, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS), Mandatory CPD credits in tele‑optometry competencies, Nationwide public‑awareness campaigns on tele‑eye care benefits, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"9","45840.85298597223","31 - 40 yrs","Female","Student doctor","None at the moment","Optometry Clinic Uniben","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Major Challenge","Moderate Challenge","Major Challenge","Major Challenge","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Training on tele-eye care platforms and software, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Development and enforcement of a national tele‑optometry regulatory framework, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS), Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"10","45840.87352642361","21 - 30 yrs","Female","Doctor","5 years","Edo State","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Significant Challenge","Significant Challenge","Major Challenge","Major Challenge","Significant Challenge","Significant Challenge","Agree","Agree","Neutral","Neutral","Disagree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Inclusion of tele‑eye care modules in optometry training and CPD programs, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS), Nationwide public‑awareness campaigns on tele‑eye care benefits"
