period,Sampling period,sampling,Day,Dayofsampling,Pitfall,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1
1,Day(2-4),sp1,2,2,P1,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
1,Day(2-4),sp1,2,2,P2,3,21,0.8231,0.1769,0.3805,0.4877,0.2876,0.6547,0.6569,0.3464,0.9578,0.9048,4
1,Day(2-4),sp1,2,2,P3,3,27,0.4897,0.5103,0.8445,0.7756,0.7317,0.5774,0.6068,0.7687,0.8635,0.6296,3
1,Day(2-4),sp1,2,2,P4,3,7,0.551,0.449,0.7963,0.7391,0.534,1.134,1.028,0.7248,1.989,0.7143,4
1,Day(2-4),sp1,2,2,P5,4,35,0.5804,0.4196,0.811,0.5625,0.6941,0.6761,0.8438,0.585,1.164,0.7429,4
1,Day(2-4),sp1,2,2,P6,4,23,0.6295,0.3705,0.7529,0.5308,0.6011,0.8341,0.9568,0.5431,1.399,0.7826,4
1,Day(2-4),sp1,2,2,P7,3,17,0.6955,0.3045,0.5783,0.5943,0.4483,0.7276,0.7059,0.5264,1.057,0.8235,3
1,Day(2-4),sp1,2,2,P8,1,36,1,0,0,1,0,0.1667,0,,0.1906,1,1
1,Day(2-4),sp1,2,2,P9,3,76,0.6326,0.3674,0.5982,0.6063,0.556,0.3441,0.4618,0.5445,0.6235,0.7632,3
1,Day(2-4),sp1,2,2,P10,2,61,0.9678,0.03225,0.08365,0.5436,0.06739,0.2561,0.2433,0.1207,0.3966,0.9836,2
1,Day(2-4),sp1,2,2,P11,3,40,0.4338,0.5663,0.9072,0.8258,0.8198,0.4743,0.5422,0.8258,0.7512,0.475,3
1,Day(2-4),sp1,2,2,P12,3,75,0.6708,0.3292,0.5789,0.5947,0.5336,0.3464,0.4632,0.527,0.6257,0.8,3
1,Day(2-4),sp1,3,3,P1,2,7,0.5918,0.4082,0.5983,0.9095,0.4349,0.7559,0.5139,0.8631,0.9354,0.7143,2
1,Day(2-4),sp1,3,3,P2,3,18,0.4877,0.5123,0.8277,0.7627,0.6841,0.7071,0.692,0.7534,1.028,0.6111,3
1,Day(2-4),sp1,3,3,P3,3,17,0.5087,0.4913,0.8083,0.748,0.6597,0.7276,0.7059,0.7357,1.057,0.6471,3
1,Day(2-4),sp1,3,3,P4,3,16,0.4063,0.5938,0.9743,0.8831,0.7997,0.75,0.7213,0.8869,1.09,0.5,3
1,Day(2-4),sp1,3,3,P5,3,32,0.459,0.541,0.8949,0.8157,0.7913,0.5303,0.5771,0.8146,0.8107,0.5938,3
1,Day(2-4),sp1,3,3,P6,2,26,0.503,0.497,0.6902,0.997,0.6186,0.3922,0.3069,0.9957,0.505,0.5385,2
1,Day(2-4),sp1,3,3,P7,4,31,0.4818,0.5182,0.8866,0.6067,0.7628,0.7184,0.8736,0.6395,1.223,0.6129,5
1,Day(2-4),sp1,3,3,P8,4,14,0.6327,0.3673,0.755,0.5319,0.5492,1.069,1.137,0.5446,1.871,0.7857,7
1,Day(2-4),sp1,3,3,P9,3,8,0.4063,0.5938,0.9743,0.8831,0.7043,1.061,0.9618,0.8869,1.743,0.5,3
1,Day(2-4),sp1,3,3,P10,3,49,0.7168,0.2832,0.5369,0.5702,0.4747,0.4286,0.5139,0.4887,0.7049,0.8367,3
1,Day(2-4),sp1,3,3,P11,4,38,0.5886,0.4114,0.7445,0.5263,0.644,0.6489,0.8247,0.537,1.128,0.7368,5
1,Day(2-4),sp1,3,3,P12,4,26,0.4408,0.5592,1.029,0.6996,0.8702,0.7845,0.9208,0.7423,1.32,0.6154,4
1,Day(2-4),sp1,4,4,P1,2,23,0.8412,0.1588,0.2954,0.6719,0.2406,0.417,0.3189,0.4262,0.5263,0.913,2
1,Day(2-4),sp1,4,4,P2,3,36,0.4367,0.5633,0.9117,0.8295,0.8166,0.5,0.5581,0.8298,0.778,0.5278,3
1,Day(2-4),sp1,4,4,P3,3,12,0.4583,0.5417,0.8877,0.8098,0.6903,0.866,0.8049,0.808,1.284,0.5833,3
1,Day(2-4),sp1,4,4,P4,4,16,0.3672,0.6328,1.143,0.7843,0.9117,1,1.082,0.8247,1.712,0.5,4
1,Day(2-4),sp1,4,4,P5,2,23,0.5463,0.4537,0.6461,0.954,0.5697,0.417,0.3189,0.9321,0.5263,0.6522,2
1,Day(2-4),sp1,4,4,P6,3,33,0.6198,0.3802,0.6452,0.6355,0.5614,0.5222,0.572,0.5873,0.8018,0.7576,3
1,Day(2-4),sp1,4,4,P7,3,29,0.5268,0.4732,0.7563,0.7101,0.6591,0.5571,0.5939,0.6884,0.8404,0.6552,3
1,Day(2-4),sp1,4,4,P8,3,17,0.4048,0.5952,0.9718,0.8809,0.8048,0.7276,0.7059,0.8846,1.057,0.4706,3
1,Day(2-4),sp1,4,4,P9,3,21,0.4739,0.5261,0.8788,0.8026,0.7407,0.6547,0.6569,0.7999,0.9578,0.619,3
1,Day(2-4),sp1,4,4,P10,3,20,0.405,0.595,0.9973,0.9036,0.8434,0.6708,0.6676,0.9078,0.9788,0.55,3
1,Day(2-4),sp1,4,4,P11,3,29,0.4863,0.5137,0.8436,0.7749,0.7368,0.5571,0.5939,0.7679,0.8404,0.6207,3
1,Day(2-4),sp1,4,4,P12,4,35,0.3159,0.6841,1.196,0.8268,1.061,0.6761,0.8438,0.8628,1.164,0.3429,4
2,Day(6-8),sp2,6,6,P1,7,47,0.4866,0.5134,1.142,0.4477,0.9764,1.021,1.558,0.587,2.277,0.6809,7.333
2,Day(6-8),sp2,6,6,P2,4,11,0.2893,0.7107,1.295,0.9123,0.9764,1.206,1.251,0.9338,2.261,0.3636,4
2,Day(6-8),sp2,6,6,P3,6,29,0.3175,0.6825,1.385,0.6655,1.161,1.114,1.485,0.7727,2.297,0.4828,6.5
2,Day(6-8),sp2,6,6,P4,4,21,0.4921,0.5079,0.9551,0.6497,0.777,0.8729,0.9854,0.6889,1.465,0.6667,4
2,Day(6-8),sp2,6,6,P5,5,13,0.2781,0.7219,1.413,0.8214,1.069,1.387,1.559,0.8778,2.975,0.3846,5.5
2,Day(6-8),sp2,6,6,P6,2,61,0.9366,0.06342,0.1443,0.5776,0.1231,0.2561,0.2433,0.2082,0.3966,0.9672,2
2,Day(6-8),sp2,6,6,P7,5,106,0.9085,0.09149,0.2529,0.2576,0.2125,0.4856,0.8577,0.1572,1.09,0.9528,6.5
2,Day(6-8),sp2,6,6,P8,3,50,0.7216,0.2784,0.5296,0.5661,0.4687,0.4243,0.5112,0.4821,0.7006,0.84,3
2,Day(6-8),sp2,6,6,P9,6,28,0.2092,0.7908,1.673,0.8881,1.411,1.134,1.501,0.9338,2.343,0.2857,6
2,Day(6-8),sp2,6,6,P10,5,87,0.8275,0.1725,0.4186,0.304,0.3624,0.5361,0.8957,0.2601,1.153,0.908,5.5
2,Day(6-8),sp2,6,6,P11,3,47,0.8416,0.1584,0.3389,0.4678,0.2868,0.4376,0.5195,0.3085,0.7139,0.9149,3
2,Day(6-8),sp2,6,6,P12,5,41,0.8168,0.1832,0.4549,0.3152,0.3586,0.7809,1.077,0.2827,1.493,0.9024,11
2,Day(6-8),sp2,7,7,P1,7,12,0.1944,0.8056,1.792,0.8571,1.285,2.021,2.415,0.9208,7.028,0.3333,9
2,Day(6-8),sp2,7,7,P2,5,28,0.2985,0.7015,1.357,0.7772,1.155,0.9449,1.2,0.8434,1.772,0.4286,5
2,Day(6-8),sp2,7,7,P3,5,40,0.56,0.44,0.8724,0.4785,0.7461,0.7906,1.084,0.5421,1.508,0.725,5.5
2,Day(6-8),sp2,7,7,P4,4,20,0.535,0.465,0.8711,0.5974,0.6983,0.8944,1.001,0.6284,1.504,0.7,5
2,Day(6-8),sp2,7,7,P5,4,25,0.5104,0.4896,0.915,0.6242,0.7607,0.8,0.932,0.66,1.344,0.68,4
2,Day(6-8),sp2,7,7,P6,2,39,0.9027,0.0973,0.2023,0.6121,0.1694,0.3203,0.273,0.2918,0.4462,0.9487,2
2,Day(6-8),sp2,7,7,P7,4,40,0.6563,0.3437,0.6953,0.5011,0.5948,0.6325,0.8133,0.5015,1.107,0.8,4
2,Day(6-8),sp2,7,7,P8,5,120,0.8578,0.1422,0.3526,0.2845,0.3108,0.4564,0.8355,0.2191,1.054,0.925,5.5
2,Day(6-8),sp2,7,7,P9,6,12,0.2639,0.7361,1.54,0.7772,1.117,1.732,2.012,0.8593,4.775,0.4167,12
2,Day(6-8),sp2,7,7,P10,5,15,0.3511,0.6489,1.287,0.7243,0.9873,1.291,1.477,0.7996,2.626,0.5333,5.5
2,Day(6-8),sp2,7,7,P11,3,21,0.5283,0.4717,0.7732,0.7222,0.6481,0.6547,0.6569,0.7038,0.9578,0.6667,3
2,Day(6-8),sp2,7,7,P12,6,27,0.5638,0.4362,0.9741,0.4415,0.7717,1.155,1.517,0.5436,2.392,0.7407,7
2,Day(6-8),sp2,8,8,P1,3,10,0.66,0.34,0.639,0.6315,0.45,0.9487,0.8686,0.5817,1.453,0.8,4
2,Day(6-8),sp2,8,8,P2,4,8,0.2813,0.7188,1.321,0.9367,0.9283,1.414,1.443,0.9528,3.184,0.375,4
2,Day(6-8),sp2,8,8,P3,5,17,0.391,0.609,1.234,0.6871,0.9601,1.213,1.412,0.7668,2.387,0.5882,5
2,Day(6-8),sp2,8,8,P4,3,5,0.36,0.64,1.055,0.9572,0.6802,1.342,1.243,0.9602,3.167,0.4,3
2,Day(6-8),sp2,8,8,P5,5,12,0.3194,0.6806,1.358,0.7777,1.002,1.443,1.61,0.8438,3.218,0.5,5.333
2,Day(6-8),sp2,8,8,P6,4,15,0.5644,0.4356,0.8572,0.5891,0.6469,1.033,1.108,0.6183,1.785,0.7333,4.5
2,Day(6-8),sp2,8,8,P7,2,44,0.8347,0.1653,0.3046,0.6781,0.2686,0.3015,0.2643,0.4395,0.4315,0.9091,2
2,Day(6-8),sp2,8,8,P8,2,11,0.8347,0.1653,0.3046,0.6781,0.218,0.603,0.417,0.4395,0.7153,0.9091,2
2,Day(6-8),sp2,8,8,P9,7,21,0.2381,0.7619,1.62,0.7218,1.29,1.528,1.971,0.8325,3.677,0.3333,13
2,Day(6-8),sp2,8,8,P10,5,20,0.41,0.59,1.175,0.6478,0.9382,1.118,1.335,0.7302,2.14,0.6,6
2,Day(6-8),sp2,8,8,P11,5,21,0.5374,0.4626,0.9533,0.5188,0.7471,1.091,1.314,0.5923,2.076,0.7143,8
2,Day(6-8),sp2,8,8,P12,2,5,0.68,0.32,0.5004,0.8247,0.3219,0.8944,0.6213,0.7219,1.235,0.8,2
3,Day(9-11),sp3,9,9,P1,3,3,0.3333,0.6667,1.099,1,0.5973,1.732,1.82,1,0,0.3333,6
3,Day(9-11),sp3,9,9,P2,4,15,0.5644,0.4356,0.8572,0.5891,0.6469,1.033,1.108,0.6183,1.785,0.7333,4.5
3,Day(9-11),sp3,9,9,P3,4,15,0.6533,0.3467,0.7201,0.5137,0.5275,1.033,1.108,0.5195,1.785,0.8,7
3,Day(9-11),sp3,9,9,P4,4,19,0.7175,0.2825,0.6096,0.4599,0.4562,0.9177,1.019,0.4398,1.546,0.8421,7
3,Day(9-11),sp3,9,9,P5,3,10,0.66,0.34,0.639,0.6315,0.45,0.9487,0.8686,0.5817,1.453,0.8,4
3,Day(9-11),sp3,9,9,P6,1,25,1,0,0,1,0,0.2,0,,0.2085,1,1
3,Day(9-11),sp3,9,9,P7,2,32,0.9395,0.06055,0.1391,0.5746,0.1083,0.3536,0.2885,0.2006,0.4729,0.9688,2
3,Day(9-11),sp3,9,9,P8,3,13,0.6213,0.3787,0.6871,0.6626,0.5196,0.8321,0.7797,0.6254,1.223,0.7692,3
3,Day(9-11),sp3,9,9,P9,3,9,0.6296,0.3704,0.6837,0.6604,0.4752,1,0.9102,0.6224,1.576,0.7778,4
3,Day(9-11),sp3,9,9,P10,3,11,0.405,0.595,0.9949,0.9015,0.7671,0.9045,0.8341,0.9056,1.359,0.5455,3
3,Day(9-11),sp3,9,9,P11,2,15,0.8756,0.1244,0.2449,0.6388,0.1805,0.5164,0.3693,0.3534,0.6198,0.9333,2
3,Day(9-11),sp3,9,9,P12,4,17,0.6055,0.3945,0.7902,0.551,0.6035,0.9701,1.059,0.57,1.649,0.7647,4.5
3,Day(9-11),sp3,10,10,P1,3,6,0.5,0.5,0.8676,0.7937,0.5669,1.225,1.116,0.7897,2.388,0.6667,4
3,Day(9-11),sp3,10,10,P2,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
3,Day(9-11),sp3,10,10,P3,4,9,0.3333,0.6667,1.215,0.8425,0.8702,1.333,1.365,0.8764,2.759,0.4444,5
3,Day(9-11),sp3,10,10,P4,5,9,0.358,0.642,1.303,0.7361,0.8905,1.667,1.82,0.8097,4.632,0.5556,11
3,Day(9-11),sp3,10,10,P5,4,9,0.3827,0.6173,1.149,0.7888,0.8135,1.333,1.365,0.8289,2.759,0.5556,4.5
3,Day(9-11),sp3,10,10,P6,4,8,0.3125,0.6875,1.255,0.8774,0.8776,1.414,1.443,0.9056,3.184,0.375,5
3,Day(9-11),sp3,10,10,P7,5,11,0.438,0.562,1.16,0.6377,0.8161,1.508,1.668,0.7205,3.538,0.6364,11
3,Day(9-11),sp3,10,10,P8,5,12,0.3194,0.6806,1.358,0.7777,1.002,1.443,1.61,0.8438,3.218,0.5,5.333
3,Day(9-11),sp3,10,10,P9,4,6,0.2778,0.7222,1.33,0.9449,0.8655,1.633,1.674,0.9591,5.245,0.3333,4.333
3,Day(9-11),sp3,10,10,P10,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
3,Day(9-11),sp3,10,10,P11,4,7,0.3061,0.6939,1.277,0.8965,0.8629,1.512,1.542,0.9212,3.878,0.4286,4.5
3,Day(9-11),sp3,10,10,P12,5,7,0.2653,0.7347,1.475,0.8743,0.9619,1.89,2.056,0.9165,7.824,0.4286,11
3,Day(9-11),sp3,11,11,P1,1,2,1,0,0,1,0,0.7071,0,,0.7959,1,1
3,Day(9-11),sp3,11,11,P2,3,7,0.4286,0.5714,0.9557,0.8668,0.6649,1.134,1.028,0.8699,1.989,0.5714,3
3,Day(9-11),sp3,11,11,P3,5,18,0.2284,0.7716,1.542,0.9346,1.242,1.179,1.384,0.958,2.293,0.3333,5
3,Day(9-11),sp3,11,11,P4,5,8,0.25,0.75,1.494,0.8911,1.015,1.768,1.924,0.9284,5.705,0.375,6.5
3,Day(9-11),sp3,11,11,P5,4,15,0.3067,0.6933,1.252,0.8743,0.9976,1.033,1.108,0.9031,1.785,0.4,4
3,Day(9-11),sp3,11,11,P6,3,11,0.5702,0.4298,0.7595,0.7124,0.5641,0.9045,0.8341,0.6914,1.359,0.7273,3
3,Day(9-11),sp3,11,11,P7,3,16,0.5234,0.4766,0.8314,0.7655,0.6678,0.75,0.7213,0.7568,1.09,0.6875,3
3,Day(9-11),sp3,11,11,P8,5,5,0.2,0.8,1.609,1,0.9575,2.236,2.485,1,0,0.2,15
3,Day(9-11),sp3,11,11,P9,4,5,0.28,0.72,1.332,0.9473,0.8189,1.789,1.864,0.961,9.284,0.4,5.5
3,Day(9-11),sp3,11,11,P10,3,12,0.4306,0.5694,0.9596,0.8702,0.7481,0.866,0.8049,0.8735,1.284,0.5833,3
3,Day(9-11),sp3,11,11,P11,3,10,0.66,0.34,0.639,0.6315,0.45,0.9487,0.8686,0.5817,1.453,0.8,4
3,Day(9-11),sp3,11,11,P12,3,16,0.4297,0.5703,0.9471,0.8594,0.7743,0.75,0.7213,0.862,1.09,0.5625,3
