Day,Pitfall,New_Pit,Period,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1
Days (2-4),P1,P1,S1,3,32,0.5801,0.4199,0.6922,0.6661,0.6046,0.5303,0.5771,0.6301,0.8107,0.7188,3
Days (2-4),P2,P2,S1,3,75,0.5097,0.4903,0.8151,0.7531,0.7621,0.3464,0.4632,0.7419,0.6257,0.6533,3
Days (2-4),P3,P3,S1,5,56,0.3814,0.6186,1.124,0.6157,1.018,0.6682,0.9937,0.6986,1.328,0.5179,6
Days (2-4),P4,P4,S1,5,39,0.3504,0.6496,1.211,0.6713,1.062,0.8006,1.092,0.7524,1.524,0.4103,5
Days (2-4),P5,P5,S1,4,90,0.5143,0.4857,0.8495,0.5846,0.7927,0.4216,0.6667,0.6128,0.8579,0.6667,4
Days (2-4),P6,P6,S1,5,82,0.5294,0.4706,0.8225,0.4552,0.7542,0.5522,0.9077,0.511,1.173,0.6707,5.5
Days (2-4),P7,P7,S1,6,77,0.4414,0.5586,0.9717,0.4404,0.8855,0.6838,1.151,0.5423,1.521,0.5065,7.5
Days (2-4),P8,P8,S1,4,67,0.5139,0.4861,0.8354,0.5764,0.7655,0.4887,0.7135,0.6026,0.9328,0.6567,4
Days (2-4),P9,P9,S1,4,105,0.5189,0.4811,0.796,0.5542,0.7478,0.3904,0.6446,0.5742,0.8238,0.6476,4
Days (2-4),P10,P10,S1,4,130,0.4782,0.5218,0.8572,0.5891,0.8157,0.3508,0.6163,0.6184,0.7812,0.5923,4
Days (2-4),P11,P11,S1,4,107,0.4731,0.5269,0.897,0.613,0.8448,0.3867,0.642,0.647,0.8198,0.5981,4
Days (2-4),P12,P12,S1,4,136,0.4175,0.5825,1.049,0.7136,1.001,0.343,0.6107,0.7566,0.7728,0.5662,4
Days (6-8),P1,P13,S2,10,69,0.3165,0.6835,1.525,0.4595,1.35,1.204,2.126,0.6623,3.213,0.4928,12
Days (6-8),P2,P14,S2,6,47,0.2576,0.7424,1.538,0.7759,1.365,0.8752,1.299,0.8584,1.826,0.4043,6
Days (6-8),P3,P15,S2,8,86,0.4159,0.5841,1.291,0.4547,1.167,0.8627,1.571,0.621,2.156,0.6163,8
Days (6-8),P4,P16,S2,5,46,0.4584,0.5416,1.11,0.6068,0.975,0.7372,1.045,0.6896,1.427,0.6522,5
Days (6-8),P5,P17,S2,7,50,0.3576,0.6424,1.392,0.5748,1.218,0.9899,1.534,0.7154,2.215,0.56,7
Days (6-8),P6,P18,S2,4,115,0.8677,0.1323,0.3203,0.3444,0.2847,0.373,0.6323,0.231,0.805,0.9304,4
Days (6-8),P7,P19,S2,5,190,0.8324,0.1676,0.3971,0.2975,0.3657,0.3627,0.7623,0.2468,0.9411,0.9105,5
Days (6-8),P8,P20,S2,5,181,0.8146,0.1854,0.4365,0.3095,0.4026,0.3716,0.7695,0.2712,0.9518,0.9006,5
Days (6-8),P9,P21,S2,7,61,0.1852,0.8148,1.768,0.8372,1.6,0.8963,1.46,0.9087,2.04,0.2459,7
Days (6-8),P10,P22,S2,7,122,0.6669,0.3331,0.7799,0.3116,0.7074,0.6338,1.249,0.4008,1.613,0.8115,8
Days (6-8),P11,P23,S2,7,89,0.6733,0.3267,0.6938,0.2859,0.6145,0.742,1.337,0.3566,1.78,0.809,17
Days (6-8),P12,P24,S2,7,73,0.7043,0.2957,0.7152,0.2921,0.6146,0.8193,1.398,0.3676,1.907,0.8356,8.5
Days (9-11),P1,P25,S3,5,11,0.3554,0.6446,1.295,0.7299,0.93,1.508,1.668,0.8043,3.538,0.5455,6.5
Days (9-11),P2,P26,S3,6,27,0.3251,0.6749,1.337,0.6346,1.11,1.155,1.517,0.7462,2.392,0.4444,9
Days (9-11),P3,P27,S3,8,42,0.2517,0.7483,1.653,0.6525,1.425,1.234,1.873,0.7947,2.93,0.4286,11
Days (9-11),P4,P28,S3,9,36,0.3997,0.6003,1.41,0.4553,1.155,1.5,2.232,0.6419,3.852,0.6111,14
Days (9-11),P5,P29,S3,6,34,0.2612,0.7388,1.49,0.7395,1.282,1.029,1.418,0.8315,2.114,0.3529,6
Days (9-11),P6,P30,S3,4,44,0.53,0.47,0.8342,0.5757,0.7378,0.603,0.7928,0.6018,1.069,0.6818,4
Days (9-11),P7,P31,S3,7,59,0.4117,0.5883,1.146,0.4494,1.015,0.9113,1.471,0.589,2.068,0.5593,13
Days (9-11),P8,P32,S3,7,30,0.2689,0.7311,1.57,0.6865,1.31,1.278,1.764,0.8067,2.871,0.4333,7.5
Days (9-11),P9,P33,S3,7,20,0.3,0.7,1.541,0.667,1.203,1.565,2.003,0.7919,3.828,0.5,8
Days (9-11),P10,P34,S3,6,28,0.227,0.773,1.593,0.8196,1.343,1.134,1.501,0.889,2.343,0.2857,6
Days (9-11),P11,P35,S3,5,32,0.377,0.623,1.169,0.6434,0.9999,0.8839,1.154,0.726,1.662,0.5,5
Days (9-11),P12,P36,S3,8,40,0.3487,0.6513,1.398,0.5058,1.184,1.265,1.898,0.6722,3.007,0.525,11
