ID,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build,,,
0,Toyota,2007,Nigerian Used,166418,2400,Petrol,Automatic,3120000.00,Not SUV,,,0
2,Mercedes-Benz,2008,Nigerian Used,376807,3000,Petrol,Automatic,3640000.00,Not SUV,,,
30,Lexus,2008,Foreign Used,301265,3500,Petrol,Automatic,4680000.00,Not SUV,,,
32,Lexus,2011,Nigerian Used,105546,4600,Petrol,Automatic,14040000.00,SUV,,,
43,Lexus,2011,Foreign Used,211917,3500,Petrol,Automatic,6968000.00,Not SUV,,,
44,Toyota,2014,Nigerian Used,216924,2500,Petrol,Automatic,9360000.00,SUV,,,
50,Toyota,2014,Nigerian Used,216924,2500,Petrol,Automatic,9360000.00,SUV,,,
54,Lexus,2016,Nigerian Used,107355,5700,Petrol,Automatic,42000000.00,SUV,,,
55,Toyota,2009,Nigerian Used,134232,2400,Petrol,Manual,4725000.00,Not SUV,,,
57,Mercedes-Benz,2007,Foreign Used,209466,4700,Petrol,Automatic,4515000.00,SUV,,,
59,Mercedes-Benz,2017,Nigerian Used,31079,3000,Petrol,Automatic,41600000.00,Not SUV,,,
62,Lexus,2010,Foreign Used,135819,3500,Petrol,Automatic,8610000.00,SUV,,,
64,Mercedes-Benz,2015,Nigerian Used,120785,4500,Petrol,Automatic,18720000.00,SUV,,,
65,Lexus,2006,Nigerian Used,156704,3300,Petrol,Automatic,3640000.00,SUV,,,
66,Toyota,2013,Foreign Used,143701,1800,Petrol,Automatic,10400000.00,Not SUV,,,
67,Lexus,2008,Nigerian Used,162262,4700,Petrol,Automatic,4725000.00,SUV,,,
70,Land Rover,2011,Nigerian Used,132352,5000,Petrol,Automatic,5250000.00,SUV,,,
71,Toyota,2010,Foreign Used,170599,3500,Petrol,Automatic,6825000.00,SUV,,,
72,Lexus,2007,Foreign Used,203492,3500,Petrol,Automatic,4410000.00,Not SUV,,,
73,Lexus,2014,Foreign Used,72352,3500,Petrol,Automatic,9240000.00,Not SUV,,,
77,Lexus,2015,Foreign Used,228013,3500,Petrol,Automatic,15600000.00,SUV,,,
78,Mercedes-Benz,2014,Nigerian Used,173644,1800,Petrol,Automatic,6090000.00,Not SUV,,,
79,Toyota,2015,Foreign Used,79277,4000,Petrol,Automatic,17680000.00,SUV,,,
80,Lexus,2015,Nigerian Used,88745,3500,Petrol,Automatic,9450000.00,SUV,,,
81,Fiat,2000,Foreign Used,286241,24000,Diesel,Manual,3675000.00,Not SUV,,,
