,MONTHS,stations,pH,Electrical Conductivity,TDS,Suspended Solid,Turbidity,Dissovled Oxygen,B.O.D,Alkalinity,Nitrate,Ammonium-N,Phosphate,Calcium,Magnesium,Iron,Zinc,Copper,Manganese,Nickel,Lead,Cadmium,AMO,METRO,SMX,TRM,CIPRO,OFLOX
1-Aug,Aug,ST1,5.6,60,30,11,15,4.5,2.9,10,0.211,0.099,0.049,1.6,3.4,1.47,0.73,0.49,0.057,0.035,0.01,0,0.167,0.474,0.119,0.000,0.106,0.128
1-Sep,Sep,ST1,7.3,180,95.4,8,16,4.2,2.1,8,0.241,0.227,0.069,1.6,3.4,1.28,0.76,0.52,0.063,0.038,0.013,0,0.127,0.522,0.276,0.000,0.123,0.265
1-Oct,Oct,ST1,5.4,20,10.6,181,296,4.7,3,16,0.316,0.836,0.906,2.41,1.46,1.84,0.73,0.45,0.063,0.049,0.012,0,0.128,0.386,0.185,0.000,0.117,0.205
1-Nov,Nov,ST1,4.1,60,31.8,11,11,3.1,0.9,6,0.624,0.041,0.079,3.21,0.49,2.67,0.94,0.45,0.074,0.055,0.018,0,0.223,0.708,0.141,0.000,0.156,0.169
1-Dec,Dec,ST1,6.9,40,20,7,0,6.1,3.8,6,1.333,0.041,0.083,2.41,4.37,1.86,0.67,0.5,0.065,0.032,0.012,0,0.000,0.000,1.409,0.000,0.169,0.110
1-Jan,Jan,ST1,6.9,40,20,7,0,6.1,3.2,6,0.333,0.041,0.079,3.21,0.49,1.78,0.64,0.55,0.063,0.053,0.011,0,0.000,0.000,0.565,0.000,0.143,0.117
1-Feb,Feb,ST1,6.4,80,40,11,3,3.2,2,10,0.312,0.085,0.12,4.01,0.97,1.78,0.64,0.62,0.063,0.053,0.011,0,0.117,0.111,0.265,0.000,0.077,0.058
1-Mar,Mar,ST1,6.5,60,30,12,4,3.5,1.9,8,0.194,0.091,0.17,4.01,1.46,1.78,0.61,0.62,0.067,0.053,0.013,0,0.565,0.422,0.277,0.000,0.114,0.122
1-Apr,Apr,ST1,6.9,500,250,15,18,4,0.6,6,0.072,0.099,0.17,4.01,0.97,1.44,0.69,0.59,0.058,0.057,0.012,0,0.287,0.156,0.165,0.000,0.075,0.053
1-May,May,ST1,6.8,200,100,18,20,4,2.1,10,0.87,0.105,0.3,2.41,0.97,1.34,0.63,0.6,0.072,0.047,0.016,0,0.176,0.127,0.079,0.057,0.056,0.067
1-Jun,Jun,ST1,6.8,180,90,25,40,3.4,2.9,8,0.11,0.113,0.39,4.81,0.97,1.38,0.69,0.67,0.068,0.058,0.016,0,0.287,0.065,0.148,0.000,0.075,0.083
1-Jul,Jul,ST1,5.6,12,6,11,15,4.5,2.1,10,0.21,0.122,0.45,3.21,1.46,1.44,0.69,0.59,0.058,0.057,0.017,0,0.275,0.114,0.168,0.000,0.068,0.067
2-Aug,Aug,ST2,5.6,70,35,14,25,4.5,3.1,16,0.199,0.124,0.161,1.6,3.4,1.23,0.78,0.62,0.061,0.045,0.012,0,0.074,0.050,0.085,0.000,0.048,0.087
2-Sep,Sep,ST2,6.6,40,21.2,17,30,5.3,3.2,10,0.305,0.624,0.152,3.21,3.4,1.17,0.84,0.74,0.074,0.042,0.015,0,0.195,0.088,0.165,0.000,0.062,0.117
