Month,Pitfall,Paltothrens tarsatus,Camponotus vividus,Camponotus maculatus,Monomorium species,morphospecies E,Paratrechina species cf. albibes,Odontomachus troglodytes,Lepisiota capensis,pheidole species,pheidole welgelegenensis,Morphospecies M,Morphospecies N
January,P1,2,4,13,20,54,0,2,0,0,0,0,0
January,P2,3,5,14,24,48,0,0,0,0,0,1,0
January,P3,0,4,4,16,15,0,2,0,1,0,0,0
January,P4,2,12,19,61,63,0,0,0,0,0,0,0
January,P5,2,50,4,113,125,2,12,0,1,0,0,0
January,P6,1,16,3,32,84,0,2,1,0,0,0,0
January,P7,2,2,4,13,66,0,5,0,0,0,0,0
January,P8,3,2,3,14,67,0,0,0,0,0,0,0
January,P9,1,4,2,16,44,0,1,0,0,0,0,0
January,P10,1,5,1,6,52,0,6,0,1,1,0,0
January,P11,0,5,2,4,5,0,5,1,0,0,0,0
January,P12,1,3,4,5,92,0,3,0,1,0,0,0
February,P1,1,2,6,4,34,0,1,0,0,1,0,2
February,P2,0,1,1,13,20,1,0,0,0,0,0,0
February,P3,0,1,0,9,13,0,0,0,1,0,0,4
February,P4,0,4,1,4,4,0,2,1,0,0,0,0
February,P5,0,2,1,6,3,0,2,0,0,0,0,0
February,P6,0,1,0,5,16,0,1,2,0,0,0,0
February,P7,0,0,2,14,28,11,1,0,0,0,0,0
February,P8,0,0,3,14,8,0,0,0,0,0,0,0
February,P9,0,3,9,28,4,0,0,0,0,0,0,0
February,P10,0,1,5,13,5,0,4,0,0,0,0,0
February,P11,0,3,6,12,27,0,1,0,0,0,0,0
February,P12,0,6,2,20,29,0,2,0,0,1,0,0
March,P1,0,0,1,11,17,0,0,0,0,0,0,0
March,P2,1,1,0,5,21,0,0,0,0,0,0,0
March,P3,1,1,0,30,3,0,1,0,0,0,0,0
March,P4,5,1,1,32,14,0,0,0,0,0,0,0
March,P5,0,0,0,12,13,0,0,0,0,0,0,0
March,P6,1,0,1,1,13,0,0,0,0,0,0,0
March,P7,1,12,0,8,136,0,0,0,0,0,0,0
March,P8,0,2,1,1,10,0,1,0,0,0,0,0
March,P9,1,5,0,7,5,0,2,0,0,0,0,0
March,P10,3,3,0,7,24,0,0,0,0,0,0,0
March,P11,2,4,1,8,9,0,0,0,0,0,0,0
March,P12,2,8,1,14,29,0,0,1,0,0,0,0
April,P1,0,0,0,10,40,0,1,0,0,0,0,0
April,P2,0,1,0,16,13,0,0,0,0,0,0,0
April,P3,0,1,0,80,13,0,0,0,0,0,0,0
April,P4,0,0,0,5,4,0,0,0,0,1,0,0
April,P5,0,1,0,5,0,0,0,0,0,0,1,0
April,P6,0,0,0,4,7,0,1,0,0,0,0,0
April,P7,0,6,0,3,7,0,1,0,0,0,0,0
April,P8,0,0,0,12,2,0,3,0,0,0,0,0
April,P9,0,0,0,3,18,0,0,0,0,0,0,0
April,P10,0,1,1,14,17,0,0,0,0,0,0,0
April,P11,1,2,0,1,7,0,0,0,0,0,0,0
April,P12,0,0,0,1,26,0,0,0,0,0,0,0
