Observation,Fert,Light,FL,Biomass.m2
1,F-,L-,F-L-,254.2
2,F-,L-,F-L-,202
3,F-,L-,F-L-,392.4
4,F-,L-,F-L-,455.3
5,F-,L-,F-L-,359.1
6,F-,L-,F-L-,386.5
7,F-,L-,F-L-,355.2
8,F-,L-,F-L-,323.1
9,F-,L-,F-L-,373.2
10,F-,L-,F-L-,324
11,F-,L-,F-L-,301.8
12,F-,L-,F-L-,313.6
13,F-,L-,F-L-,387.5
14,F-,L-,F-L-,428.4
15,F-,L-,F-L-,447.3
16,F-,L-,F-L-,389.1
17,F+,L-,F+L-,404.7
18,F+,L-,F+L-,423.3
19,F+,L-,F+L-,464.2
20,F+,L-,F+L-,547.2
21,F+,L-,F+L-,351.6
22,F+,L-,F+L-,434.5
23,F+,L-,F+L-,257.9
24,F+,L-,F+L-,457.9
25,F+,L-,F+L-,370.3
26,F+,L-,F+L-,413.1
27,F+,L-,F+L-,598
28,F+,L-,F+L-,565.8
29,F+,L-,F+L-,397.6
30,F+,L-,F+L-,457.3
31,F+,L-,F+L-,532.5
32,F+,L-,F+L-,515.9
33,F-,L+,F-L+,344.5
34,F-,L+,F-L+,450.2
35,F-,L+,F-L+,393.3
36,F-,L+,F-L+,463.8
37,F-,L+,F-L+,369.7
38,F-,L+,F-L+,401.3
39,F-,L+,F-L+,377.8
40,F-,L+,F-L+,514.5
41,F-,L+,F-L+,152.3
42,F-,L+,F-L+,223.7
43,F-,L+,F-L+,444.6
44,F-,L+,F-L+,477.6
45,F-,L+,F-L+,513.9
46,F-,L+,F-L+,380.3
47,F-,L+,F-L+,355.4
48,F-,L+,F-L+,311.8
49,F+,L+,F+L+,475.6
50,F+,L+,F+L+,625.7
51,F+,L+,F+L+,468.2
52,F+,L+,F+L+,701.6
53,F+,L+,F+L+,420.5
54,F+,L+,F+L+,550.8
55,F+,L+,F+L+,521
56,F+,L+,F+L+,653.4
57,F+,L+,F+L+,623.4
58,F+,L+,F+L+,747.9
59,F+,L+,F+L+,383
60,F+,L+,F+L+,658.7
61,F+,L+,F+L+,548.9
62,F+,L+,F+L+,750.4
63,F+,L+,F+L+,538.1
64,F+,L+,F+L+,533.1
