ID,Make,Year,Condition,Mileage,Engine.Size,Fuel,Transmission,Price,Build,Selling.Rate,,,
0,Toyota,2007,3,166418,2400,Petrol,Automatic,3120000,Not SUV,108.2238082,,,
2,Mercedes-Benz,2008,3,376807,3000,Petrol,Automatic,3640000,Not SUV,106.9462997,,,
30,Lexus,2008,2,301265,3500,Petrol,Automatic,4680000,Not SUV,106.9462997,,,
32,Lexus,2011,3,105546,4600,Petrol,Automatic,14040000,SUV,141.9929683,,,
43,Lexus,2011,2,211917,3500,Petrol,Automatic,6968000,Not SUV,141.9929683,,,
44,Toyota,2014,3,216924,2500,Petrol,Automatic,9360000,SUV,122.1199565,,,
50,Toyota,2014,3,216924,2500,Petrol,Automatic,9360000,SUV,122.1199565,,,
54,Lexus,2016,3,107355,5700,Petrol,Automatic,4.20E+07,SUV,169.7856929,,,
55,Toyota,2009,3,134232,2400,Petrol,Manual,4725000,Not SUV,129.3582081,,,
57,Mercedes-Benz,2007,2,209466,4700,Petrol,Automatic,4515000,SUV,108.2238082,,,
59,Mercedes-Benz,2017,3,31079,3000,Petrol,Automatic,41600000,Not SUV,192.3100693,,,
62,Lexus,2010,2,135819,3500,Petrol,Automatic,8610000,SUV,130.380255,,,
64,Mercedes-Benz,2015,3,120785,4500,Petrol,Automatic,18720000,SUV,137.4128104,,,
65,Lexus,2006,3,156704,3300,Petrol,Automatic,3640000,SUV,105.8547276,,,
66,Toyota,2013,2,143701,1800,Petrol,Automatic,10400000,Not SUV,120.7825672,,,
67,Lexus,2008,3,162262,4700,Petrol,Automatic,4725000,SUV,106.9462997,,,
70,Land Rover,2011,3,132352,5000,Petrol,Automatic,5250000,SUV,141.9929683,,,
71,Toyota,2010,2,170599,3500,Petrol,Automatic,6825000,SUV,130.380255,,,
72,Lexus,2007,2,203492,3500,Petrol,Automatic,4410000,Not SUV,108.2238082,,,
73,Lexus,2014,2,72352,3500,Petrol,Automatic,9240000,Not SUV,122.1199565,,,
77,Lexus,2015,2,228013,3500,Petrol,Automatic,15600000,SUV,137.4128104,,,
