MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Year of Joining,year code,Month of joining,Work_len_quaters,Joining Designation,Designation,Promotions,Quarterly Rating
3/1/2016,1,28,Male,C23,Master,57387,12/24/2015,3/11/2016,2015,5,12,1,1,1,0,2
4/1/2017,4,43,Male,C13,Master,65603,12/7/2016,4/27/2017,2016,6,12,2,2,2,0,1
3/1/2016,5,29,Male,C9,College,46368,1/9/2016,3/7/2016,2016,6,1,1,1,1,0,1
11/1/2017,8,34,Male,C2,College,70656,9/19/2017,11/15/2017,2017,7,9,1,3,3,0,1
12/1/2016,12,35,Male,C23,Master,28116,6/29/2016,12/21/2016,2016,6,6,2,1,1,0,1
11/1/2017,13,31,Male,C19,Master,119227,5/28/2012,11/25/2017,2012,2,5,22,1,4,3,1
2/1/2016,16,30,Female,C23,College,52963,11/30/2015,2/22/2016,2015,5,11,1,2,2,0,1
7/1/2016,17,43,Male,C20,Master,51099,3/6/2015,7/20/2016,2015,5,3,6,1,1,0,1
5/1/2016,18,27,Female,C17,Bachelor,31631,1/9/2016,4/30/2016,2016,6,1,1,1,1,0,1
3/1/2017,20,26,Female,C19,College,40342,10/25/2016,3/1/2017,2016,6,10,1,3,3,0,1
2/1/2017,21,34,Female,C29,Bachelor,22755,5/12/2015,2/17/2017,2015,5,5,7,1,1,0,1
4/1/2017,22,41,Male,C10,Master,31224,5/25/2015,4/26/2017,2015,5,5,8,1,1,0,1
10/1/2016,24,31,Male,C24,Master,76308,5/25/2015,10/27/2016,2015,5,5,6,1,2,1,2
5/1/2016,29,30,Male,C13,Master,30312,5/20/2015,5/23/2016,2015,5,5,4,1,1,0,1
12/1/2016,30,31,Male,C6,Bachelor,69457,10/3/2016,11/29/2016,2016,6,10,1,3,3,0,1
11/1/2017,34,28,Female,C14,Bachelor,65813,7/31/2017,11/14/2017,2017,7,7,1,2,2,0,1
5/1/2017,35,32,Male,C5,Bachelor,68070,3/7/2017,5/5/2017,2017,7,3,1,3,3,0,1
8/1/2017,36,41,Female,C18,Bachelor,32865,7/1/2016,7/29/2017,2016,6,7,4,2,2,0,2
10/1/2017,37,33,Female,C14,Bachelor,57375,5/16/2017,10/16/2017,2017,7,5,2,2,2,0,1
3/1/2017,38,22,Male,C27,College,13427,12/6/2016,3/15/2017,2016,6,12,1,1,1,0,1
2/1/2017,40,32,Male,C15,College,59182,11/8/2016,2/14/2017,2016,6,11,1,2,2,0,1
5/1/2016,42,44,Female,C28,College,45988,10/20/2015,5/16/2016,2015,5,10,2,2,2,0,1
2/1/2016,43,27,Female,C15,College,12906,7/13/2015,2/20/2016,2015,5,7,2,1,1,0,1
11/1/2017,44,28,Male,C17,Master,62100,9/25/2017,11/24/2017,2017,7,9,1,1,1,0,1
3/1/2016,46,36,Female,C25,Master,42171,10/28/2015,2/27/2016,2015,5,10,1,1,1,0,1
1/1/2017,49,22,Male,C20,College,53039,5/25/2015,1/21/2017,2015,5,5,7,1,2,1,1
2/1/2016,50,49,Female,C5,College,89367,11/20/2015,2/20/2016,2015,5,11,1,3,3,0,1
12/1/2016,51,34,Male,C14,College,131347,5/22/2014,12/23/2016,2014,4,5,10,4,4,0,2
3/1/2017,55,30,Female,C8,College,29985,11/21/2016,3/15/2017,2016,6,11,1,1,1,0,1
7/1/2017,57,38,Female,C1,Bachelor,84318,7/26/2014,7/21/2017,2014,4,7,12,1,2,1,1
1/1/2016,58,41,Male,C4,College,57987,10/15/2015,1/25/2016,2015,5,10,1,2,2,0,1
3/1/2016,59,35,Female,C18,Bachelor,31644,1/6/2016,3/28/2016,2016,6,1,1,1,1,0,1
3/1/2016,61,32,Male,C11,Master,19818,5/4/2015,3/17/2016,2015,5,5,3,1,1,0,1
6/1/2017,64,33,Male,C27,Master,66502,1/31/2017,6/19/2017,2017,7,1,2,2,2,0,1
6/1/2017,65,30,Female,C7,Bachelor,69539,7/31/2015,6/16/2017,2015,5,7,8,2,2,0,2
9/1/2017,69,32,Female,C7,Bachelor,64604,11/14/2016,9/12/2017,2016,6,11,3,2,2,0,1
1/1/2016,70,35,Male,C20,Bachelor,19235,10/8/2015,1/29/2016,2015,5,10,1,1,1,0,1
2/1/2016,71,43,Male,C20,Master,54103,5/25/2015,2/15/2016,2015,5,5,3,3,3,0,1
10/1/2017,74,35,Female,C5,Master,59216,5/1/2017,10/24/2017,2017,7,5,2,2,2,0,1
12/1/2017,75,25,Female,C18,Master,39884,7/21/2017,12/13/2017,2017,7,7,2,2,2,0,2
8/1/2016,79,32,Male,C14,Bachelor,114648,7/9/2016,8/9/2016,2016,6,7,0,4,4,0,1
10/1/2016,81,39,Male,C9,Master,77177,6/12/2015,10/4/2016,2015,5,6,5,1,2,1,1
8/1/2017,82,37,Female,C24,Bachelor,89013,4/11/2017,7/29/2017,2017,7,4,1,3,3,0,1
6/1/2017,83,34,Male,C23,Master,115159,8/29/2016,6/7/2017,2016,6,8,3,3,3,0,1
9/1/2017,84,42,Male,C16,College,25950,7/4/2016,9/4/2017,2016,6,7,5,1,1,0,2
1/1/2016,86,35,Male,C2,Master,49510,5/28/2015,1/27/2016,2015,5,5,3,1,1,0,1
6/1/2016,88,45,Female,C3,College,62298,1/6/2015,6/3/2016,2015,5,1,6,2,2,0,1
8/1/2017,89,28,Male,C2,Bachelor,58977,5/30/2016,7/29/2017,2016,6,5,5,2,2,0,1
3/1/2017,90,33,Male,C22,College,29408,11/11/2016,3/10/2017,2016,6,11,1,2,2,0,1
12/1/2016,91,31,Male,C21,College,22731,8/3/2016,12/15/2016,2016,6,8,1,2,2,0,1
2/1/2016,93,30,Male,C17,Master,39527,7/14/2015,2/3/2016,2015,5,7,2,2,2,0,2
3/1/2017,95,29,Female,C14,Master,60874,1/30/2017,3/9/2017,2017,7,1,0,3,3,0,1
11/1/2017,96,35,Male,C12,Master,64953,7/17/2017,11/27/2017,2017,7,7,1,3,3,0,1
12/1/2017,98,25,Male,C16,College,63774,8/15/2016,12/25/2017,2016,6,8,5,2,3,1,2
8/1/2017,99,30,Male,C23,College,38068,3/24/2017,7/29/2017,2017,7,3,1,2,2,0,1
5/1/2016,101,33,Male,C10,College,38945,12/3/2014,5/3/2016,2014,4,12,6,1,1,0,1
3/1/2016,102,22,Female,C12,College,42270,1/5/2016,3/21/2016,2016,6,1,1,1,1,0,1
