Quadrant,Samples,Chromonela odorata,Axystasia gangetica,Ixora coccinea,Sida acuta,Alternathera brasilliana,Panicum maximum,Emilia praetermissa,Tridax procumbens,Commelina erecta,Centrosema pubescens,Leucaena leucophala,Eleutheranthera ruderalis
Q1,S1,0,7.2,0,0,0.333333333,8.666666667,0.166666667,0,0,5.233333333,0,0
Q2,S1,0,2.7,0,0.1,0.5,21.66666667,0.333333333,0,0,0.666666667,0,0
Q3,S1,0,0.7,0,0.033333333,0.1,8.5,0,0,1,1.133333333,0,0
Q4,S1,0.033333333,1.7,0,0.033333333,1.333333333,2.333333333,0,0,0,1.366666667,0,0
Q5,S1,0,1.666666667,0,0.066666667,3.333333333,6.7,0,0,0,2.066666667,0,0
Q6,S1,0,1,0,0,10.03333333,0.333333333,0,0,0.366666667,5.333333333,0,0
Q7,S1,0,1.666666667,0,0.333333333,1,2,0.033333333,0,0.166666667,0.666666667,0,0
Q8,S1,0,2,0,0,3.333333333,1.666666667,0.333333333,0,0.033333333,0,0,0
Q9,S1,0,1.033333333,0,0.333333333,0.1,6.666666667,0,0,0,1.033333333,0.666666667,0
Q10,S1,0,2.666666667,0,0,0.866666667,0.433333333,0.1,0,0.366666667,0,0,0
Q11,S1,0.166666667,3.333333333,0,0,1,0.333333333,0,0,0,0,0,0
Q12,S1,0,5,0,0,0.366666667,0.166666667,0,0,0.033333333,0.033333333,0,0
Q13,S1,0,4.333333333,0,0,0.366666667,5.033333333,0.333333333,0.066666667,0,0.166666667,0,0
Q14,S1,0,3.333333333,0,0,0.8,1.666666667,0.333333333,0,1,0.033333333,0,0
Q15,S1,0,2.033333333,0,0,3.333333333,4.666666667,0.366666667,0,0.4,0.033333333,0,0
Q16,S1,0.333333333,0.333333333,0,0,1,9.333333333,0.033333333,0,0.666666667,2.333333333,0,0
Q17,S1,0,1.8,0,0,0.333333333,1,0.333333333,0,0.5,1.7,0,0
Q1,S2,0,1.333333333,0,0,0.166666667,0.433333333,0.166666667,0,0.366666667,0,0,0
Q2,S2,0,0.2,0,0,0,1.033333333,0,0,0,0,0,0
Q3,S2,0,0,0,0.066666667,0,0.666666667,0,0,0,0,0,0
Q4,S2,0,0.166666667,0,0.033333333,0,0.066666667,0.033333333,0,0.033333333,0,0,0
Q5,S2,0,0.033333333,0,0,0,0.4,0,0,0.066666667,0,0,0
Q6,S2,0,0.333333333,0.033333333,0,0,0.366666667,0,0,0.066666667,0,0,0
Q7,S2,0,0.333333333,0.033333333,0,0,0.7,0,0,0.033333333,0,0,0
Q8,S2,0.333333333,0.033333333,0.033333333,0,0,0,0,0,0.033333333,0,0,0
Q9,S2,0,0,0.333333333,0,0,0,0.033333333,0,0.666666667,0.166666667,0,0
Q10,S2,0,1.066666667,0.033333333,0,0,0,0,0,0.166666667,0,0.033333333,0
Q11,S2,0,0.033333333,0.033333333,0,0,0,0,0,0.033333333,0,0,0
Q12,S2,0,0.033333333,0.033333333,0,0,0.033333333,0,0,0.333333333,0.033333333,0,0
Q13,S2,0,0,0,0,0,0.033333333,0.033333333,0,0.333333333,0,0,0
Q14,S2,0,0.2,0,0,0,0.033333333,0,0,0.033333333,0,0,0
Q15,S2,0,0,0,0,0,1,0,0,0.033333333,0,0,0
Q16,S2,0,0,0,0,0,1.066666667,0,0,0.066666667,0,0,0
Q17,S2,0,0.066666667,0,0,0,0.666666667,0,0,0.033333333,0,0,0
Q1,S3,0,0.033333333,0,0,0,0.2,0,0,0.466666667,0.066666667,0,0
Q2,S3,0,0.033333333,0,0,0,6.733333333,0,0,0.1,0,0,0
Q3,S3,0,0,0,0,0,5.666666667,0,0,0.1,0.033333333,0,0.066666667
Q4,S3,0,0,0,0,0,0.133333333,0,0,0.033333333,0.033333333,0.033333333,0.033333333
Q5,S3,0,0,0,0,0,3.433333333,0,0,1.066666667,0.033333333,0,0
Q6,S3,0,0,0,0,0,1.666666667,0,0,0.033333333,0,0,20
Q7,S3,0,0,0,0,0,0.2,0,0.033333333,1.7,0.033333333,0.033333333,12.33333333
Q8,S3,0,0.033333333,0,0,0,0,0,0,3.666666667,0.333333333,0,12
Q9,S3,0,0,0,0,0,0.333333333,0,0,0,0.033333333,0.066666667,21.66666667
Q10,S3,0,0.033333333,0,0,0,0.066666667,0,0.066666667,0,1.666666667,0.066666667,3.333333333
